time_utc,time_ny,open,high,low,close,complete
2025-12-29 14:00:00+00:00,2025-12-29 09:00:00-05:00,25515.2,25517.0,25508.6,25513.0,True
2025-12-29 14:01:00+00:00,2025-12-29 09:01:00-05:00,25513.0,25518.6,25512.0,25518.0,True
2025-12-29 14:02:00+00:00,2025-12-29 09:02:00-05:00,25518.0,25523.8,25517.6,25521.4,True
2025-12-29 14:03:00+00:00,2025-12-29 09:03:00-05:00,25521.4,25522.8,25511.6,25513.4,True
2025-12-29 14:04:00+00:00,2025-12-29 09:04:00-05:00,25513.4,25516.6,25509.6,25511.2,True
2025-12-29 14:05:00+00:00,2025-12-29 09:05:00-05:00,25511.2,25515.8,25508.4,25512.6,True
2025-12-29 14:06:00+00:00,2025-12-29 09:06:00-05:00,25512.6,25512.8,25506.0,25507.0,True
2025-12-29 14:07:00+00:00,2025-12-29 09:07:00-05:00,25507.0,25509.0,25502.4,25502.6,True
2025-12-29 14:08:00+00:00,2025-12-29 09:08:00-05:00,25502.6,25506.4,25501.8,25506.4,True
2025-12-29 14:09:00+00:00,2025-12-29 09:09:00-05:00,25506.4,25509.3,25505.0,25507.4,True
2025-12-29 14:10:00+00:00,2025-12-29 09:10:00-05:00,25507.4,25509.8,25505.3,25509.0,True
2025-12-29 14:11:00+00:00,2025-12-29 09:11:00-05:00,25509.0,25512.4,25508.0,25510.0,True
2025-12-29 14:12:00+00:00,2025-12-29 09:12:00-05:00,25510.0,25510.2,25503.8,25506.4,True
2025-12-29 14:13:00+00:00,2025-12-29 09:13:00-05:00,25506.4,25511.1,25505.1,25510.4,True
2025-12-29 14:14:00+00:00,2025-12-29 09:14:00-05:00,25510.4,25521.3,25510.2,25517.3,True
2025-12-29 14:15:00+00:00,2025-12-29 09:15:00-05:00,25517.3,25520.8,25490.4,25491.6,True
2025-12-29 14:16:00+00:00,2025-12-29 09:16:00-05:00,25491.6,25494.3,25478.6,25493.2,True
2025-12-29 14:17:00+00:00,2025-12-29 09:17:00-05:00,25493.2,25493.3,25486.6,25488.4,True
2025-12-29 14:18:00+00:00,2025-12-29 09:18:00-05:00,25488.4,25493.0,25478.2,25491.1,True
2025-12-29 14:19:00+00:00,2025-12-29 09:19:00-05:00,25491.1,25502.6,25489.4,25501.8,True
2025-12-29 14:20:00+00:00,2025-12-29 09:20:00-05:00,25501.8,25502.0,25496.4,25499.4,True
2025-12-29 14:21:00+00:00,2025-12-29 09:21:00-05:00,25499.4,25506.0,25496.4,25502.6,True
2025-12-29 14:22:00+00:00,2025-12-29 09:22:00-05:00,25502.6,25504.0,25497.4,25499.2,True
2025-12-29 14:23:00+00:00,2025-12-29 09:23:00-05:00,25499.2,25506.1,25498.8,25502.0,True
2025-12-29 14:24:00+00:00,2025-12-29 09:24:00-05:00,25502.0,25503.6,25497.0,25501.4,True
2025-12-29 14:25:00+00:00,2025-12-29 09:25:00-05:00,25501.4,25510.8,25500.4,25507.0,True
2025-12-29 14:26:00+00:00,2025-12-29 09:26:00-05:00,25507.0,25515.2,25506.9,25512.2,True
2025-12-29 14:27:00+00:00,2025-12-29 09:27:00-05:00,25512.2,25514.8,25510.0,25513.6,True
2025-12-29 14:28:00+00:00,2025-12-29 09:28:00-05:00,25513.6,25521.6,25513.6,25519.6,True
2025-12-29 14:29:00+00:00,2025-12-29 09:29:00-05:00,25519.6,25533.6,25519.6,25528.2,True
2025-12-29 14:30:00+00:00,2025-12-29 09:30:00-05:00,25528.2,25529.3,25486.0,25512.6,True
2025-12-29 14:31:00+00:00,2025-12-29 09:31:00-05:00,25512.6,25519.4,25488.0,25508.4,True
2025-12-29 14:32:00+00:00,2025-12-29 09:32:00-05:00,25508.4,25540.3,25508.4,25530.6,True
2025-12-29 14:33:00+00:00,2025-12-29 09:33:00-05:00,25530.6,25541.5,25527.2,25528.6,True
2025-12-29 14:34:00+00:00,2025-12-29 09:34:00-05:00,25528.6,25547.0,25523.2,25541.6,True
2025-12-29 14:35:00+00:00,2025-12-29 09:35:00-05:00,25541.6,25555.0,25539.6,25554.8,True
2025-12-29 14:36:00+00:00,2025-12-29 09:36:00-05:00,25554.8,25618.8,25554.8,25618.5,True
2025-12-29 14:37:00+00:00,2025-12-29 09:37:00-05:00,25618.5,25640.0,25616.8,25624.3,True
2025-12-29 14:38:00+00:00,2025-12-29 09:38:00-05:00,25624.3,25635.2,25614.0,25620.2,True
2025-12-29 14:39:00+00:00,2025-12-29 09:39:00-05:00,25620.2,25629.3,25609.4,25618.4,True
2025-12-29 14:40:00+00:00,2025-12-29 09:40:00-05:00,25618.4,25626.4,25607.0,25624.2,True
2025-12-29 14:41:00+00:00,2025-12-29 09:41:00-05:00,25624.2,25626.0,25603.2,25615.6,True
2025-12-29 14:42:00+00:00,2025-12-29 09:42:00-05:00,25615.6,25627.6,25615.0,25624.6,True
2025-12-29 14:43:00+00:00,2025-12-29 09:43:00-05:00,25624.6,25626.5,25605.2,25608.3,True
2025-12-29 14:44:00+00:00,2025-12-29 09:44:00-05:00,25608.3,25616.0,25601.2,25614.5,True
2025-12-29 14:45:00+00:00,2025-12-29 09:45:00-05:00,25614.5,25614.8,25567.0,25570.0,True
2025-12-29 14:46:00+00:00,2025-12-29 09:46:00-05:00,25570.0,25592.6,25567.0,25592.6,True
2025-12-29 14:47:00+00:00,2025-12-29 09:47:00-05:00,25592.6,25596.8,25573.8,25575.0,True
2025-12-29 14:48:00+00:00,2025-12-29 09:48:00-05:00,25575.0,25576.2,25555.8,25561.2,True
2025-12-29 14:49:00+00:00,2025-12-29 09:49:00-05:00,25561.2,25570.5,25557.0,25568.4,True
2025-12-29 14:50:00+00:00,2025-12-29 09:50:00-05:00,25568.4,25581.8,25560.6,25561.4,True
2025-12-29 14:51:00+00:00,2025-12-29 09:51:00-05:00,25561.4,25563.0,25533.5,25537.5,True
2025-12-29 14:52:00+00:00,2025-12-29 09:52:00-05:00,25537.5,25551.7,25532.4,25546.2,True
2025-12-29 14:53:00+00:00,2025-12-29 09:53:00-05:00,25546.2,25559.2,25534.8,25558.3,True
2025-12-29 14:54:00+00:00,2025-12-29 09:54:00-05:00,25558.3,25574.8,25553.5,25554.5,True
2025-12-29 14:55:00+00:00,2025-12-29 09:55:00-05:00,25554.5,25565.8,25546.0,25559.3,True
2025-12-29 14:56:00+00:00,2025-12-29 09:56:00-05:00,25559.3,25559.6,25549.3,25556.0,True
2025-12-29 14:57:00+00:00,2025-12-29 09:57:00-05:00,25556.0,25561.0,25550.9,25552.5,True
2025-12-29 14:58:00+00:00,2025-12-29 09:58:00-05:00,25552.5,25555.2,25537.8,25538.4,True
2025-12-29 14:59:00+00:00,2025-12-29 09:59:00-05:00,25538.4,25547.0,25533.0,25544.8,True
2025-12-29 15:00:00+00:00,2025-12-29 10:00:00-05:00,25544.8,25557.6,25528.0,25557.0,True
2025-12-29 15:01:00+00:00,2025-12-29 10:01:00-05:00,25557.0,25561.4,25549.4,25555.3,True
2025-12-29 15:02:00+00:00,2025-12-29 10:02:00-05:00,25555.3,25562.5,25543.5,25545.2,True
2025-12-29 15:03:00+00:00,2025-12-29 10:03:00-05:00,25545.2,25545.3,25536.0,25538.5,True
2025-12-29 15:04:00+00:00,2025-12-29 10:04:00-05:00,25538.5,25542.5,25529.0,25531.4,True
2025-12-29 15:05:00+00:00,2025-12-29 10:05:00-05:00,25531.4,25543.0,25529.6,25532.8,True
2025-12-29 15:06:00+00:00,2025-12-29 10:06:00-05:00,25532.8,25533.5,25518.0,25524.3,True
2025-12-29 15:07:00+00:00,2025-12-29 10:07:00-05:00,25524.3,25525.0,25511.5,25519.5,True
2025-12-29 15:08:00+00:00,2025-12-29 10:08:00-05:00,25519.5,25526.4,25510.5,25514.5,True
2025-12-29 15:09:00+00:00,2025-12-29 10:09:00-05:00,25514.5,25520.8,25505.2,25505.5,True
