time_utc,time_ny,open,high,low,close,complete
2025-12-19 14:00:00+00:00,2025-12-19 09:00:00-05:00,25131.6,25134.4,25112.0,25119.0,True
2025-12-19 14:01:00+00:00,2025-12-19 09:01:00-05:00,25119.0,25125.8,25117.6,25125.4,True
2025-12-19 14:02:00+00:00,2025-12-19 09:02:00-05:00,25125.4,25126.2,25110.8,25111.0,True
2025-12-19 14:03:00+00:00,2025-12-19 09:03:00-05:00,25111.0,25124.4,25107.4,25119.4,True
2025-12-19 14:04:00+00:00,2025-12-19 09:04:00-05:00,25119.4,25135.4,25119.0,25134.4,True
2025-12-19 14:05:00+00:00,2025-12-19 09:05:00-05:00,25134.4,25138.6,25131.6,25132.6,True
2025-12-19 14:06:00+00:00,2025-12-19 09:06:00-05:00,25132.6,25135.3,25126.2,25126.4,True
2025-12-19 14:07:00+00:00,2025-12-19 09:07:00-05:00,25126.4,25136.6,25126.2,25136.2,True
2025-12-19 14:08:00+00:00,2025-12-19 09:08:00-05:00,25136.2,25140.6,25135.6,25138.0,True
2025-12-19 14:09:00+00:00,2025-12-19 09:09:00-05:00,25138.0,25140.6,25136.4,25139.4,True
2025-12-19 14:10:00+00:00,2025-12-19 09:10:00-05:00,25139.4,25143.6,25136.6,25142.0,True
2025-12-19 14:11:00+00:00,2025-12-19 09:11:00-05:00,25142.0,25149.6,25139.0,25143.4,True
2025-12-19 14:12:00+00:00,2025-12-19 09:12:00-05:00,25143.4,25143.4,25134.3,25137.4,True
2025-12-19 14:13:00+00:00,2025-12-19 09:13:00-05:00,25137.4,25145.6,25137.4,25144.4,True
2025-12-19 14:14:00+00:00,2025-12-19 09:14:00-05:00,25144.4,25150.6,25144.4,25148.0,True
2025-12-19 14:15:00+00:00,2025-12-19 09:15:00-05:00,25148.0,25157.0,25146.6,25156.2,True
2025-12-19 14:16:00+00:00,2025-12-19 09:16:00-05:00,25156.2,25163.8,25151.6,25163.2,True
2025-12-19 14:17:00+00:00,2025-12-19 09:17:00-05:00,25163.2,25166.3,25158.6,25166.1,True
2025-12-19 14:18:00+00:00,2025-12-19 09:18:00-05:00,25166.1,25179.6,25163.6,25177.6,True
2025-12-19 14:19:00+00:00,2025-12-19 09:19:00-05:00,25177.6,25182.0,25173.4,25181.4,True
2025-12-19 14:20:00+00:00,2025-12-19 09:20:00-05:00,25181.4,25183.3,25173.0,25180.0,True
2025-12-19 14:21:00+00:00,2025-12-19 09:21:00-05:00,25180.0,25188.4,25179.6,25186.6,True
