time_utc,time_ny,open,high,low,close,complete
2025-12-17 14:00:00+00:00,2025-12-17 09:00:00-05:00,25253.4,25258.6,25249.4,25255.2,True
2025-12-17 14:01:00+00:00,2025-12-17 09:01:00-05:00,25255.2,25267.4,25254.2,25265.6,True
2025-12-17 14:02:00+00:00,2025-12-17 09:02:00-05:00,25265.6,25270.3,25262.0,25263.6,True
2025-12-17 14:03:00+00:00,2025-12-17 09:03:00-05:00,25263.6,25264.8,25257.2,25259.5,True
2025-12-17 14:04:00+00:00,2025-12-17 09:04:00-05:00,25259.5,25259.6,25249.8,25251.0,True
2025-12-17 14:05:00+00:00,2025-12-17 09:05:00-05:00,25251.0,25260.8,25250.8,25260.4,True
2025-12-17 14:06:00+00:00,2025-12-17 09:06:00-05:00,25260.4,25260.6,25252.2,25255.4,True
2025-12-17 14:07:00+00:00,2025-12-17 09:07:00-05:00,25255.4,25256.6,25251.6,25253.4,True
2025-12-17 14:08:00+00:00,2025-12-17 09:08:00-05:00,25253.4,25256.6,25249.8,25252.8,True
2025-12-17 14:09:00+00:00,2025-12-17 09:09:00-05:00,25252.8,25254.4,25251.8,25252.6,True
2025-12-17 14:10:00+00:00,2025-12-17 09:10:00-05:00,25252.6,25252.8,25244.2,25246.8,True
2025-12-17 14:11:00+00:00,2025-12-17 09:11:00-05:00,25246.8,25256.4,25246.8,25253.2,True
2025-12-17 14:12:00+00:00,2025-12-17 09:12:00-05:00,25253.2,25253.4,25231.4,25232.4,True
2025-12-17 14:13:00+00:00,2025-12-17 09:13:00-05:00,25232.4,25238.4,25226.0,25232.2,True
2025-12-17 14:14:00+00:00,2025-12-17 09:14:00-05:00,25232.2,25236.2,25218.6,25218.8,True
2025-12-17 14:15:00+00:00,2025-12-17 09:15:00-05:00,25218.8,25221.4,25216.4,25219.4,True
2025-12-17 14:16:00+00:00,2025-12-17 09:16:00-05:00,25219.4,25230.6,25216.2,25229.4,True
2025-12-17 14:17:00+00:00,2025-12-17 09:17:00-05:00,25229.4,25229.8,25222.8,25224.4,True
2025-12-17 14:18:00+00:00,2025-12-17 09:18:00-05:00,25224.4,25226.8,25222.6,25224.2,True
2025-12-17 14:19:00+00:00,2025-12-17 09:19:00-05:00,25224.2,25232.8,25224.2,25231.5,True
2025-12-17 14:20:00+00:00,2025-12-17 09:20:00-05:00,25231.5,25234.2,25228.4,25231.0,True
2025-12-17 14:21:00+00:00,2025-12-17 09:21:00-05:00,25231.0,25235.4,25229.6,25234.2,True
2025-12-17 14:22:00+00:00,2025-12-17 09:22:00-05:00,25234.2,25238.6,25233.6,25236.8,True
2025-12-17 14:23:00+00:00,2025-12-17 09:23:00-05:00,25236.8,25236.8,25230.4,25233.2,True
2025-12-17 14:24:00+00:00,2025-12-17 09:24:00-05:00,25233.2,25233.4,25228.8,25231.6,True
2025-12-17 14:25:00+00:00,2025-12-17 09:25:00-05:00,25231.6,25234.8,25223.8,25225.6,True
2025-12-17 14:26:00+00:00,2025-12-17 09:26:00-05:00,25225.6,25234.6,25225.6,25231.2,True
2025-12-17 14:27:00+00:00,2025-12-17 09:27:00-05:00,25231.2,25239.8,25229.8,25234.8,True
2025-12-17 14:28:00+00:00,2025-12-17 09:28:00-05:00,25234.8,25234.8,25216.8,25219.6,True
2025-12-17 14:29:00+00:00,2025-12-17 09:29:00-05:00,25219.6,25219.6,25205.8,25210.6,True
2025-12-17 14:30:00+00:00,2025-12-17 09:30:00-05:00,25210.6,25223.0,25186.0,25208.8,True
2025-12-17 14:31:00+00:00,2025-12-17 09:31:00-05:00,25208.8,25236.2,25191.6,25205.0,True
2025-12-17 14:32:00+00:00,2025-12-17 09:32:00-05:00,25205.0,25219.4,25187.3,25200.8,True
2025-12-17 14:33:00+00:00,2025-12-17 09:33:00-05:00,25200.8,25226.3,25200.2,25204.3,True
2025-12-17 14:34:00+00:00,2025-12-17 09:34:00-05:00,25204.3,25210.4,25182.5,25189.2,True
2025-12-17 14:35:00+00:00,2025-12-17 09:35:00-05:00,25189.2,25195.2,25168.3,25168.3,True
2025-12-17 14:36:00+00:00,2025-12-17 09:36:00-05:00,25168.3,25169.2,25121.2,25136.4,True
2025-12-17 14:37:00+00:00,2025-12-17 09:37:00-05:00,25136.4,25157.2,25127.6,25136.3,True
2025-12-17 14:38:00+00:00,2025-12-17 09:38:00-05:00,25136.3,25154.2,25125.4,25147.4,True
2025-12-17 14:39:00+00:00,2025-12-17 09:39:00-05:00,25147.4,25152.2,25119.6,25125.8,True
2025-12-17 14:40:00+00:00,2025-12-17 09:40:00-05:00,25125.8,25137.2,25098.8,25130.8,True
2025-12-17 14:41:00+00:00,2025-12-17 09:41:00-05:00,25130.8,25142.0,25094.0,25098.8,True
2025-12-17 14:42:00+00:00,2025-12-17 09:42:00-05:00,25098.8,25108.3,25086.3,25104.8,True
2025-12-17 14:43:00+00:00,2025-12-17 09:43:00-05:00,25104.8,25113.4,25091.4,25099.4,True
2025-12-17 14:44:00+00:00,2025-12-17 09:44:00-05:00,25099.4,25110.6,25087.0,25105.6,True
2025-12-17 14:45:00+00:00,2025-12-17 09:45:00-05:00,25105.6,25126.5,25084.8,25088.8,True
2025-12-17 14:46:00+00:00,2025-12-17 09:46:00-05:00,25088.8,25094.2,25034.6,25046.3,True
2025-12-17 14:47:00+00:00,2025-12-17 09:47:00-05:00,25046.3,25065.8,25039.1,25063.6,True
2025-12-17 14:48:00+00:00,2025-12-17 09:48:00-05:00,25063.6,25067.8,25041.4,25051.2,True
2025-12-17 14:49:00+00:00,2025-12-17 09:49:00-05:00,25051.2,25102.6,25045.4,25087.4,True
2025-12-17 14:50:00+00:00,2025-12-17 09:50:00-05:00,25087.4,25105.2,25077.6,25084.6,True
2025-12-17 14:51:00+00:00,2025-12-17 09:51:00-05:00,25084.6,25101.3,25072.5,25093.0,True
2025-12-17 14:52:00+00:00,2025-12-17 09:52:00-05:00,25093.0,25100.4,25075.2,25090.0,True
2025-12-17 14:53:00+00:00,2025-12-17 09:53:00-05:00,25090.0,25102.3,25067.8,25075.2,True
