time_utc,time_ny,open,high,low,close,complete
2025-12-16 14:00:00+00:00,2025-12-16 09:00:00-05:00,25017.0,25022.4,25010.4,25012.6,True
2025-12-16 14:01:00+00:00,2025-12-16 09:01:00-05:00,25012.6,25016.8,24990.8,24999.2,True
2025-12-16 14:02:00+00:00,2025-12-16 09:02:00-05:00,24999.2,25004.8,24996.5,24998.8,True
2025-12-16 14:03:00+00:00,2025-12-16 09:03:00-05:00,24998.8,25014.6,24997.6,25012.4,True
2025-12-16 14:04:00+00:00,2025-12-16 09:04:00-05:00,25012.4,25033.8,25012.2,25029.8,True
2025-12-16 14:05:00+00:00,2025-12-16 09:05:00-05:00,25029.8,25040.6,25023.4,25039.6,True
2025-12-16 14:06:00+00:00,2025-12-16 09:06:00-05:00,25039.6,25042.4,25034.0,25034.6,True
2025-12-16 14:07:00+00:00,2025-12-16 09:07:00-05:00,25034.6,25037.6,25026.8,25029.2,True
2025-12-16 14:08:00+00:00,2025-12-16 09:08:00-05:00,25029.2,25033.4,25020.0,25029.2,True
2025-12-16 14:09:00+00:00,2025-12-16 09:09:00-05:00,25029.2,25031.4,25021.8,25022.2,True
2025-12-16 14:10:00+00:00,2025-12-16 09:10:00-05:00,25022.2,25027.1,25018.6,25021.0,True
2025-12-16 14:11:00+00:00,2025-12-16 09:11:00-05:00,25021.0,25028.2,25019.2,25026.8,True
2025-12-16 14:12:00+00:00,2025-12-16 09:12:00-05:00,25026.8,25032.3,25024.6,25026.8,True
2025-12-16 14:13:00+00:00,2025-12-16 09:13:00-05:00,25026.8,25028.8,25020.6,25026.6,True
2025-12-16 14:14:00+00:00,2025-12-16 09:14:00-05:00,25026.6,25028.4,25019.2,25020.4,True
2025-12-16 14:15:00+00:00,2025-12-16 09:15:00-05:00,25020.4,25042.8,25019.4,25042.4,True
2025-12-16 14:16:00+00:00,2025-12-16 09:16:00-05:00,25042.4,25055.2,25041.4,25042.6,True
2025-12-16 14:17:00+00:00,2025-12-16 09:17:00-05:00,25042.6,25047.4,25040.6,25044.4,True
2025-12-16 14:18:00+00:00,2025-12-16 09:18:00-05:00,25044.4,25049.2,25037.6,25045.8,True
2025-12-16 14:19:00+00:00,2025-12-16 09:19:00-05:00,25045.8,25050.2,25043.6,25043.8,True
2025-12-16 14:20:00+00:00,2025-12-16 09:20:00-05:00,25043.8,25045.6,25031.4,25033.8,True
2025-12-16 14:21:00+00:00,2025-12-16 09:21:00-05:00,25033.8,25037.4,25024.6,25030.4,True
2025-12-16 14:22:00+00:00,2025-12-16 09:22:00-05:00,25030.4,25045.2,25029.4,25043.6,True
2025-12-16 14:23:00+00:00,2025-12-16 09:23:00-05:00,25043.6,25046.0,25037.8,25038.4,True
2025-12-16 14:24:00+00:00,2025-12-16 09:24:00-05:00,25038.4,25043.2,25035.8,25038.6,True
2025-12-16 14:25:00+00:00,2025-12-16 09:25:00-05:00,25038.6,25038.6,25028.2,25030.6,True
2025-12-16 14:26:00+00:00,2025-12-16 09:26:00-05:00,25030.6,25030.6,25012.8,25013.8,True
2025-12-16 14:27:00+00:00,2025-12-16 09:27:00-05:00,25013.8,25015.8,24993.8,25001.6,True
2025-12-16 14:28:00+00:00,2025-12-16 09:28:00-05:00,25001.6,25012.2,24990.2,24991.2,True
2025-12-16 14:29:00+00:00,2025-12-16 09:29:00-05:00,24991.2,25001.9,24991.2,24996.6,True
2025-12-16 14:30:00+00:00,2025-12-16 09:30:00-05:00,24996.6,25071.2,24975.4,25057.0,True
2025-12-16 14:31:00+00:00,2025-12-16 09:31:00-05:00,25057.0,25084.3,25029.8,25079.6,True
2025-12-16 14:32:00+00:00,2025-12-16 09:32:00-05:00,25079.6,25083.6,25037.5,25040.8,True
2025-12-16 14:33:00+00:00,2025-12-16 09:33:00-05:00,25040.8,25062.8,25025.2,25061.2,True
2025-12-16 14:34:00+00:00,2025-12-16 09:34:00-05:00,25061.2,25067.6,25036.0,25049.4,True
2025-12-16 14:35:00+00:00,2025-12-16 09:35:00-05:00,25049.4,25061.8,25034.6,25035.0,True
2025-12-16 14:36:00+00:00,2025-12-16 09:36:00-05:00,25035.0,25103.6,25024.6,25096.6,True
2025-12-16 14:37:00+00:00,2025-12-16 09:37:00-05:00,25096.6,25114.8,25069.6,25095.6,True
2025-12-16 14:38:00+00:00,2025-12-16 09:38:00-05:00,25095.6,25099.6,25074.1,25088.0,True
2025-12-16 14:39:00+00:00,2025-12-16 09:39:00-05:00,25088.0,25088.0,25061.8,25072.8,True
2025-12-16 14:40:00+00:00,2025-12-16 09:40:00-05:00,25072.8,25084.2,25045.5,25045.5,True
2025-12-16 14:41:00+00:00,2025-12-16 09:41:00-05:00,25045.5,25052.8,25015.4,25018.6,True
2025-12-16 14:42:00+00:00,2025-12-16 09:42:00-05:00,25018.6,25037.8,25005.2,25023.2,True
2025-12-16 14:43:00+00:00,2025-12-16 09:43:00-05:00,25023.2,25032.0,25006.6,25006.8,True
2025-12-16 14:44:00+00:00,2025-12-16 09:44:00-05:00,25006.8,25035.6,25000.6,25029.4,True
2025-12-16 14:45:00+00:00,2025-12-16 09:45:00-05:00,25029.4,25043.4,24983.6,24983.6,True
2025-12-16 14:46:00+00:00,2025-12-16 09:46:00-05:00,24983.6,25027.0,24970.5,25021.0,True
2025-12-16 14:47:00+00:00,2025-12-16 09:47:00-05:00,25021.0,25093.0,25017.8,25084.8,True
2025-12-16 14:48:00+00:00,2025-12-16 09:48:00-05:00,25084.8,25099.8,25079.6,25091.8,True
