time_utc,time_ny,open,high,low,close,complete
2025-12-31 14:00:00+00:00,2025-12-31 09:00:00-05:00,25536.6,25542.3,25535.0,25541.0,True
2025-12-31 14:01:00+00:00,2025-12-31 09:01:00-05:00,25541.0,25550.0,25540.6,25548.0,True
2025-12-31 14:02:00+00:00,2025-12-31 09:02:00-05:00,25548.0,25549.6,25545.4,25546.2,True
2025-12-31 14:03:00+00:00,2025-12-31 09:03:00-05:00,25546.2,25546.6,25542.3,25544.0,True
2025-12-31 14:04:00+00:00,2025-12-31 09:04:00-05:00,25544.0,25544.4,25538.6,25544.2,True
2025-12-31 14:05:00+00:00,2025-12-31 09:05:00-05:00,25544.2,25545.1,25541.2,25543.4,True
2025-12-31 14:06:00+00:00,2025-12-31 09:06:00-05:00,25543.4,25546.8,25536.4,25537.6,True
2025-12-31 14:07:00+00:00,2025-12-31 09:07:00-05:00,25537.6,25541.4,25537.2,25538.3,True
2025-12-31 14:08:00+00:00,2025-12-31 09:08:00-05:00,25538.3,25541.6,25536.8,25540.2,True
2025-12-31 14:09:00+00:00,2025-12-31 09:09:00-05:00,25540.2,25541.0,25536.8,25537.6,True
2025-12-31 14:10:00+00:00,2025-12-31 09:10:00-05:00,25537.6,25540.2,25536.2,25536.8,True
2025-12-31 14:11:00+00:00,2025-12-31 09:11:00-05:00,25536.8,25540.0,25536.3,25537.4,True
2025-12-31 14:12:00+00:00,2025-12-31 09:12:00-05:00,25537.4,25539.4,25534.3,25538.3,True
2025-12-31 14:13:00+00:00,2025-12-31 09:13:00-05:00,25538.3,25538.6,25532.9,25533.8,True
2025-12-31 14:14:00+00:00,2025-12-31 09:14:00-05:00,25533.8,25535.0,25532.1,25534.2,True
2025-12-31 14:15:00+00:00,2025-12-31 09:15:00-05:00,25534.2,25534.8,25532.2,25533.6,True
2025-12-31 14:16:00+00:00,2025-12-31 09:16:00-05:00,25533.6,25535.4,25531.0,25533.8,True
2025-12-31 14:17:00+00:00,2025-12-31 09:17:00-05:00,25533.8,25535.2,25532.6,25533.2,True
2025-12-31 14:18:00+00:00,2025-12-31 09:18:00-05:00,25533.2,25533.3,25528.8,25528.8,True
2025-12-31 14:19:00+00:00,2025-12-31 09:19:00-05:00,25528.8,25532.4,25527.6,25529.6,True
2025-12-31 14:20:00+00:00,2025-12-31 09:20:00-05:00,25529.6,25532.6,25528.6,25530.6,True
2025-12-31 14:21:00+00:00,2025-12-31 09:21:00-05:00,25530.6,25532.2,25530.0,25532.2,True
2025-12-31 14:22:00+00:00,2025-12-31 09:22:00-05:00,25532.2,25535.6,25532.1,25532.1,True
2025-12-31 14:23:00+00:00,2025-12-31 09:23:00-05:00,25532.1,25532.6,25528.1,25528.2,True
2025-12-31 14:24:00+00:00,2025-12-31 09:24:00-05:00,25528.2,25531.0,25527.3,25528.2,True
2025-12-31 14:25:00+00:00,2025-12-31 09:25:00-05:00,25528.2,25528.6,25522.7,25526.6,True
2025-12-31 14:26:00+00:00,2025-12-31 09:26:00-05:00,25526.6,25530.0,25525.6,25529.3,True
2025-12-31 14:27:00+00:00,2025-12-31 09:27:00-05:00,25529.3,25532.0,25521.9,25522.6,True
2025-12-31 14:28:00+00:00,2025-12-31 09:28:00-05:00,25522.6,25523.6,25516.2,25521.8,True
2025-12-31 14:29:00+00:00,2025-12-31 09:29:00-05:00,25521.8,25522.2,25511.6,25512.0,True
2025-12-31 14:30:00+00:00,2025-12-31 09:30:00-05:00,25512.0,25519.0,25497.2,25513.7,True
2025-12-31 14:31:00+00:00,2025-12-31 09:31:00-05:00,25513.7,25525.3,25504.0,25511.0,True
2025-12-31 14:32:00+00:00,2025-12-31 09:32:00-05:00,25511.0,25524.6,25494.5,25495.4,True
2025-12-31 14:33:00+00:00,2025-12-31 09:33:00-05:00,25495.4,25499.2,25484.8,25492.3,True
2025-12-31 14:34:00+00:00,2025-12-31 09:34:00-05:00,25492.3,25501.8,25484.5,25499.4,True
2025-12-31 14:35:00+00:00,2025-12-31 09:35:00-05:00,25499.4,25515.8,25499.2,25501.3,True
2025-12-31 14:36:00+00:00,2025-12-31 09:36:00-05:00,25501.3,25502.8,25465.0,25468.4,True
2025-12-31 14:37:00+00:00,2025-12-31 09:37:00-05:00,25468.4,25468.8,25452.8,25457.0,True
2025-12-31 14:38:00+00:00,2025-12-31 09:38:00-05:00,25457.0,25470.8,25445.5,25470.8,True
2025-12-31 14:39:00+00:00,2025-12-31 09:39:00-05:00,25470.8,25471.5,25459.3,25464.5,True
2025-12-31 14:40:00+00:00,2025-12-31 09:40:00-05:00,25464.5,25466.2,25453.2,25458.4,True
2025-12-31 14:41:00+00:00,2025-12-31 09:41:00-05:00,25458.4,25459.0,25447.5,25453.2,True
2025-12-31 14:42:00+00:00,2025-12-31 09:42:00-05:00,25453.2,25463.0,25451.6,25454.0,True
2025-12-31 14:43:00+00:00,2025-12-31 09:43:00-05:00,25454.0,25457.0,25447.5,25447.6,True
2025-12-31 14:44:00+00:00,2025-12-31 09:44:00-05:00,25447.6,25455.4,25442.7,25453.2,True
2025-12-31 14:45:00+00:00,2025-12-31 09:45:00-05:00,25453.2,25459.4,25422.0,25427.8,True
2025-12-31 14:46:00+00:00,2025-12-31 09:46:00-05:00,25427.8,25432.6,25422.3,25428.4,True
2025-12-31 14:47:00+00:00,2025-12-31 09:47:00-05:00,25428.4,25429.3,25415.0,25422.8,True
2025-12-31 14:48:00+00:00,2025-12-31 09:48:00-05:00,25422.8,25441.0,25422.2,25431.4,True
2025-12-31 14:49:00+00:00,2025-12-31 09:49:00-05:00,25431.4,25438.0,25420.5,25437.5,True
2025-12-31 14:50:00+00:00,2025-12-31 09:50:00-05:00,25437.5,25450.2,25426.2,25432.6,True
2025-12-31 14:51:00+00:00,2025-12-31 09:51:00-05:00,25432.6,25443.4,25424.4,25442.6,True
2025-12-31 14:52:00+00:00,2025-12-31 09:52:00-05:00,25442.6,25462.5,25442.4,25457.3,True
2025-12-31 14:53:00+00:00,2025-12-31 09:53:00-05:00,25457.3,25457.5,25436.0,25441.3,True
2025-12-31 14:54:00+00:00,2025-12-31 09:54:00-05:00,25441.3,25462.8,25440.3,25461.3,True
2025-12-31 14:55:00+00:00,2025-12-31 09:55:00-05:00,25461.3,25468.3,25455.4,25457.5,True
2025-12-31 14:56:00+00:00,2025-12-31 09:56:00-05:00,25457.5,25464.4,25438.4,25439.0,True
2025-12-31 14:57:00+00:00,2025-12-31 09:57:00-05:00,25439.0,25444.8,25432.4,25436.8,True
