,0.1,0.25,0.5,0.75,1.0
0.0,478220.00000000047,466772.00000000047,447692.00000000047,428612.00000000047,409532.00000000047
2.0,476312.00000000047,464864.00000000047,445784.00000000047,426704.00000000047,407624.00000000047
4.0,474404.00000000047,462956.00000000047,443876.00000000047,424796.00000000047,405716.00000000047
6.0,472496.00000000047,461048.00000000047,441968.00000000047,422888.00000000047,403808.00000000047
8.0,470588.00000000047,459140.00000000047,440060.00000000047,420980.00000000047,401900.00000000047
