,0.1,0.25,0.5,0.75,1.0
0.0,396.45702306079727,384.45702306079727,364.45702306079727,344.45702306079727,324.45702306079727
2.0,394.45702306079727,382.45702306079727,362.45702306079727,342.45702306079727,322.45702306079727
4.0,392.45702306079727,380.45702306079727,360.45702306079727,340.45702306079727,320.45702306079727
6.0,390.45702306079727,378.45702306079727,358.45702306079727,338.45702306079727,318.45702306079727
8.0,388.45702306079727,376.45702306079727,356.45702306079727,336.45702306079727,316.45702306079727
