trades,pf,exp_usd,max_dd,entry_time
870,1.0917228208717906,122.34050574712548,61115.20000000004,10:00
884,1.0891914772257079,119.09502262443331,104946.40000000029,10:05
897,1.2790393482656117,351.7904124860648,46870.55999999982,10:10
924,1.1170608274224094,153.87082251082225,79864.64000000068,10:15
947,1.164539857262659,211.59298838437084,50290.39999999979,10:20
954,1.3315137645073152,404.45702306079727,43808.48000000013,10:22
964,1.2577727444369038,320.35900414937873,54827.679999999964,10:25
971,1.2812126787528417,340.8562718846538,38128.16000000021,10:30
