bucket,count,avg_ret,win_rate,vol_ann,sharpe
low,379,0.00018265736486400126,0.2691292875989446,0.11217895595506902,0.4103234475115329
mid,379,0.0005788049690462508,0.2717678100263852,0.1714033302640912,0.8509686012221694
high,379,0.0029917646067261962,0.3403693931398417,0.2881727443457107,2.6162248015743796
