final_equity,max_dd_pct
386511.99078750785,-0.24757192416603613
386511.9907875066,-0.11961071326767718
386511.9907875062,-0.23092476569918072
386511.99078750727,-0.20972976059007764
386511.99078750866,-0.22360362168884326
386511.9907875069,-0.1858567208923869
386511.99078750674,-0.14413356865317398
386511.99078750645,-0.1623453080286277
386511.9907875058,-0.17544192602185998
386511.990787507,-0.17290873090659303
386511.99078750686,-0.21275850441937863
386511.9907875059,-0.1189980564823917
386511.99078750744,-0.15042483743616517
386511.9907875068,-0.1546152660861906
386511.99078750674,-0.17681197284486602
386511.9907875077,-0.2750428461408959
386511.99078750715,-0.1575892400855236
386511.9907875071,-0.14309756238710733
386511.9907875074,-0.15836682593261708
386511.99078750744,-0.2214264001569599
386511.9907875074,-0.2442268832905867
386511.9907875078,-0.18329491942068046
386511.9907875063,-0.1414375130402264
386511.9907875064,-0.20676135004619595
386511.9907875065,-0.22796255890654
386511.9907875072,-0.19404441038607742
386511.9907875068,-0.1714044230803918
386511.99078750634,-0.28497272067160184
386511.9907875061,-0.20362756336431273
386511.9907875061,-0.28936691029377687
386511.9907875057,-0.16414951778072287
386511.990787508,-0.1369467858605178
386511.9907875062,-0.1813874436721934
386511.99078750703,-0.18816294281888304
386511.9907875063,-0.19645440983957532
386511.9907875072,-0.17842204669510803
386511.99078750634,-0.2357032898541291
386511.9907875072,-0.150461599846676
386511.99078750715,-0.2649279577037752
386511.9907875066,-0.18668954654536904
386511.9907875069,-0.1611400460024322
386511.9907875066,-0.23345505378140993
386511.99078750645,-0.16648937004947478
386511.99078750773,-0.28899909825338205
386511.99078750727,-0.12362693120584585
386511.9907875055,-0.27027549139139845
386511.9907875075,-0.2686254606906476
386511.9907875067,-0.17817273642626902
386511.9907875076,-0.3087368031255421
386511.99078750674,-0.16061939663407995
386511.9907875078,-0.29591222930044747
386511.9907875072,-0.28628105095796164
386511.9907875061,-0.2110610121955028
386511.9907875066,-0.2035817085833812
386511.99078750634,-0.16323150311187326
386511.99078750727,-0.12345736575033874
386511.9907875082,-0.15667491255882565
386511.9907875076,-0.21632675318419758
386511.9907875061,-0.18075218829683443
386511.99078750744,-0.21017372011948163
386511.9907875069,-0.15548120007689858
386511.9907875078,-0.22075521674536433
386511.99078750674,-0.33949097911994897
386511.99078750634,-0.20404620930667094
386511.99078750634,-0.19783371799082133
386511.99078750727,-0.34961786084596697
386511.9907875067,-0.31972673436113414
386511.99078750686,-0.22547010768966888
386511.99078750645,-0.18132058867004583
386511.9907875079,-0.14237708401702684
386511.9907875065,-0.18010402508225873
386511.9907875064,-0.26374079001118444
386511.9907875078,-0.19861745823727095
